month,hour,is_weekday,is_peak_hour,weighted_prod_rate
7,09:00,0,0,22.79
7,10:00,0,0,22.79
7,11:00,0,0,22.79
7,12:00,0,0,22.79
7,13:00,0,0,22.79
7,14:00,0,0,22.79
7,15:00,0,0,22.79
7,16:00,0,0,22.79
7,17:00,0,0,22.79
7,18:00,0,0,22.79
7,19:00,0,0,22.79
7,20:00,0,0,22.79
7,21:00,0,0,22.79
7,22:00,0,0,22.79
7,23:00,0,0,22.79
8,00:00,1,0,22.79
8,01:00,1,0,22.79
8,02:00,1,0,22.79
8,03:00,1,0,22.79
8,04:00,1,0,22.79
8,05:00,1,0,22.79
8,06:00,1,0,22.79
8,07:00,1,0,22.79
8,08:00,1,0,22.79
8,09:00,1,0,22.79
8,10:00,1,0,22.79
8,11:00,1,0,22.79
8,12:00,1,0,22.79
8,13:00,1,0,22.79
8,14:00,1,0,22.79
8,15:00,1,0,22.79
8,16:00,1,0,22.79
8,17:00,1,1,117.05
8,18:00,1,1,117.05
8,19:00,1,1,117.05
8,20:00,1,1,117.05
8,21:00,1,1,117.05
8,22:00,1,1,117.05
8,23:00,1,0,22.79
8,00:00,0,0,22.79
8,01:00,0,0,22.79
8,02:00,0,0,22.79
8,03:00,0,0,22.79
8,04:00,0,0,22.79
8,05:00,0,0,22.79
8,06:00,0,0,22.79
8,07:00,0,0,22.79
8,08:00,0,0,22.79
8,09:00,0,0,22.79
8,10:00,0,0,22.79
8,11:00,0,0,22.79
8,12:00,0,0,22.79
8,13:00,0,0,22.79
8,14:00,0,0,22.79
8,15:00,0,0,22.79
8,16:00,0,0,22.79
8,17:00,0,0,22.79
8,18:00,0,0,22.79
8,19:00,0,0,22.79
8,20:00,0,0,22.79
8,21:00,0,0,22.79
8,22:00,0,0,22.79
8,23:00,0,0,22.79
9,00:00,1,0,22.79
9,01:00,1,0,22.79
9,02:00,1,0,22.79
9,03:00,1,0,22.79
9,04:00,1,0,22.79
9,05:00,1,0,22.79
9,06:00,1,0,22.79
9,07:00,1,0,22.79
9,08:00,1,0,22.79
9,09:00,1,0,22.79
9,10:00,1,0,22.79
9,11:00,1,0,22.79
9,12:00,1,0,22.79
9,13:00,1,0,22.79
9,14:00,1,0,22.79
9,15:00,1,0,22.79
9,16:00,1,0,22.79
9,17:00,1,1,117.05
9,18:00,1,1,117.05
9,19:00,1,1,117.05
9,20:00,1,1,117.05
9,21:00,1,1,117.05
9,22:00,1,1,117.05
9,23:00,1,0,22.79
9,00:00,0,0,22.79
9,01:00,0,0,22.79
9,02:00,0,0,22.79
9,03:00,0,0,22.79
9,04:00,0,0,22.79
9,05:00,0,0,22.79
9,06:00,0,0,22.79
9,07:00,0,0,22.79
9,08:00,0,0,22.79
9,09:00,0,0,22.79
9,10:00,0,0,22.79
9,11:00,0,0,22.79
9,12:00,0,0,22.79
9,13:00,0,0,22.79
9,14:00,0,0,22.79
9,15:00,0,0,22.79
9,16:00,0,0,22.79
9,17:00,0,0,22.79
9,18:00,0,0,22.79
9,19:00,0,0,22.79
9,20:00,0,0,22.79
9,21:00,0,0,22.79
9,22:00,0,0,22.79
9,23:00,0,0,22.79
10,00:00,1,0,18.64
10,01:00,1,0,18.64
10,02:00,1,0,18.64
10,03:00,1,0,18.64
10,04:00,1,0,18.64
10,05:00,1,0,18.64
10,06:00,1,0,18.64
10,07:00,1,0,18.64
10,08:00,1,0,18.64
10,09:00,1,0,18.64
10,10:00,1,0,18.64
10,11:00,1,0,18.64
10,12:00,1,0,18.64
10,13:00,1,0,18.64
10,14:00,1,0,18.64
10,15:00,1,0,18.64
10,16:00,1,0,18.64
10,17:00,1,1,22.27
10,18:00,1,1,22.27
10,19:00,1,1,22.27
10,20:00,1,1,22.27
10,21:00,1,1,22.27
10,22:00,1,0,18.64
10,23:00,1,0,18.64
10,00:00,0,0,18.64
10,01:00,0,0,18.64
10,02:00,0,0,18.64
10,03:00,0,0,18.64
10,04:00,0,0,18.64
10,05:00,0,0,18.64
10,06:00,0,0,18.64
10,07:00,0,0,18.64
10,08:00,0,0,18.64
10,09:00,0,0,18.64
10,10:00,0,0,18.64
10,11:00,0,0,18.64
10,12:00,0,0,18.64
10,13:00,0,0,18.64
10,14:00,0,0,18.64
10,15:00,0,0,18.64
10,16:00,0,0,18.64
10,17:00,0,0,18.64
10,18:00,0,0,18.64
10,19:00,0,0,18.64
10,20:00,0,0,18.64
10,21:00,0,0,18.64
10,22:00,0,0,18.64
10,23:00,0,0,18.64
11,00:00,1,0,18.64
11,01:00,1,0,18.64
11,02:00,1,0,18.64
11,03:00,1,0,18.64
11,04:00,1,0,18.64
11,05:00,1,0,18.64
11,06:00,1,0,18.64
11,07:00,1,0,18.64
11,08:00,1,0,18.64
11,09:00,1,0,18.64
11,10:00,1,0,18.64
11,11:00,1,0,18.64
11,12:00,1,0,18.64
11,13:00,1,0,18.64
11,14:00,1,0,18.64
11,15:00,1,0,18.64
11,16:00,1,0,18.64
11,17:00,1,1,22.27
11,18:00,1,1,22.27
11,19:00,1,1,22.27
11,20:00,1,1,22.27
11,21:00,1,1,22.27
11,22:00,1,0,18.64
11,23:00,1,0,18.64
11,00:00,0,0,18.64
11,01:00,0,0,18.64
11,02:00,0,0,18.64
11,03:00,0,0,18.64
